"DateTime","Additions","Deletions"
"2017-10-22",1123,-155
"2017-10-29",11,-1
"2017-11-05",10,-3
"2017-11-12",0,0
"2017-11-19",0,0
"2017-11-26",0,0
"2017-12-03",0,0
"2017-12-10",0,0
"2017-12-17",0,0
"2017-12-24",14,-8
"2017-12-31",0,0
"2018-01-07",33,-33
"2018-01-14",0,0
"2018-01-21",0,0
"2018-01-28",0,0
"2018-02-04",0,0
"2018-02-11",21,-10
"2018-02-18",16,-12
"2018-02-25",1,0
"2018-03-04",6639,-26
"2018-03-11",0,0
"2018-03-18",130844,-163
"2018-03-25",89136,-84934
"2018-04-01",0,0
"2018-04-08",597777,-134565
"2018-04-15",0,0
"2018-04-22",0,0
"2018-04-29",3,-3
"2018-05-06",81,-39
"2018-05-13",0,0
"2018-05-20",74,-22
"2018-05-27",135199,-505
"2018-06-03",0,0
"2018-06-10",0,0
"2018-06-17",0,0
"2018-06-24",0,0
"2018-07-01",3098,-91
"2018-07-08",4680,-136
"2018-07-15",22,-5
"2018-07-22",0,0
"2018-07-29",138161,-110269
"2018-08-05",12,-1
"2018-08-12",0,0
"2018-08-19",0,0
"2018-08-26",0,0
"2018-09-02",0,0
"2018-09-09",0,0
"2018-09-16",0,0
"2018-09-23",0,0
"2018-09-30",31423,-2636
"2018-10-07",0,0
"2018-10-14",0,0
"2018-10-21",0,0
"2018-10-28",3,-2
"2018-11-04",0,0
"2018-11-11",1916,-438
"2018-11-18",137,-11
"2018-11-25",0,0
"2018-12-02",31324,-341
"2018-12-09",274,-64
"2018-12-16",0,0
"2018-12-23",0,0
"2018-12-30",0,0
"2019-01-06",0,0
"2019-01-13",0,0
"2019-01-20",0,0
"2019-01-27",32536,-1510
"2019-02-03",0,0
"2019-02-10",0,0
"2019-02-17",0,0
"2019-02-24",0,0
"2019-03-03",0,0
"2019-03-10",0,0
"2019-03-17",567,-106
"2019-03-24",0,0
"2019-03-31",32343,-314
"2019-04-07",0,0
"2019-04-14",46,-5
"2019-04-21",0,0
"2019-04-28",0,0
"2019-05-05",0,0
"2019-05-12",0,0
"2019-05-19",14,-11
"2019-05-26",34915,-1831
"2019-06-02",0,0
"2019-06-09",58,-219657
"2019-06-16",0,0
"2019-06-23",4,0
"2019-06-30",0,0
"2019-07-07",44635,-4234
"2019-07-14",4796,-3531
"2019-07-21",260,-406
"2019-07-28",0,0
"2019-08-04",0,0
"2019-08-11",1233,-1137
"2019-08-18",0,0
"2019-08-25",27,-7
"2019-09-01",69,-15
"2019-09-08",45676,-6219
"2019-09-15",0,0
"2019-09-22",4,-4
"2019-09-29",833,-697
"2019-10-06",0,0
"2019-10-13",16330,-13850
"2019-10-20",0,0
"2019-10-27",48,-28
"2019-11-03",9,-4
"2019-11-10",44849,-767302
"2019-11-17",3,-5
"2019-11-24",0,0
"2019-12-01",0,0
"2019-12-08",0,0
"2019-12-15",2139,-1895
"2019-12-22",3423,-3087
"2019-12-29",514,-513
"2020-01-05",40,-419
"2020-01-12",0,0
"2020-01-19",0,0
"2020-01-26",0,0
"2020-02-02",0,0
"2020-02-09",0,0
"2020-02-16",0,0
"2020-02-23",8918,-12474
"2020-03-01",0,0
"2020-03-08",0,0
"2020-03-15",0,0
"2020-03-22",1975,-1468
"2020-03-29",0,0
"2020-04-05",0,0
"2020-04-12",0,0
"2020-04-19",0,0
"2020-04-26",0,0
"2020-05-03",568,-831
"2020-05-10",0,0
"2020-05-17",4887,-8850
"2020-05-24",0,0
"2020-05-31",5,-5
"2020-06-07",31,-3388
"2020-06-14",17,-7
"2020-06-21",0,0
"2020-06-28",0,0
"2020-07-05",0,0
"2020-07-12",53,-57
"2020-07-19",0,0
"2020-07-26",0,0
"2020-08-02",0,0
"2020-08-09",0,0
"2020-08-16",288,-325
"2020-08-23",0,0
"2020-08-30",0,0
"2020-09-06",0,0
"2020-09-13",0,0
"2020-09-20",5410,-539
"2020-09-27",0,0
"2020-10-04",0,0
"2020-10-11",0,0
"2020-10-18",0,0
"2020-10-25",7773,-6145
"2020-11-01",0,0
"2020-11-08",0,0
"2020-11-15",5812,-5220
"2020-11-22",0,0
"2020-11-29",0,0
"2020-12-06",0,0
"2020-12-13",0,0
"2020-12-20",0,0
"2020-12-27",0,0
"2021-01-03",0,0
"2021-01-10",0,0
"2021-01-17",0,0
"2021-01-24",0,0
"2021-01-31",0,0
"2021-02-07",0,0
"2021-02-14",0,0
"2021-02-21",10104,-9601
"2021-02-28",0,0
"2021-03-07",0,0
"2021-03-14",0,0
"2021-03-21",0,0
"2021-03-28",0,0
"2021-04-04",0,0
"2021-04-11",0,0
"2021-04-18",176,-160
"2021-04-25",0,0
"2021-05-02",0,0
"2021-05-09",0,0
"2021-05-16",0,0
"2021-05-23",14531,-13701
"2021-05-30",73873,-63407
"2021-06-06",0,0
"2021-06-13",0,0
"2021-06-20",3,-2
"2021-06-27",0,0
"2021-07-04",0,0
"2021-07-11",0,0
"2021-07-18",0,0
"2021-07-25",31,-3
"2021-08-01",0,0
"2021-08-08",0,0
"2021-08-15",0,0
"2021-08-22",15089,-9935
"2021-08-29",0,0
"2021-09-05",0,0
"2021-09-12",3000,-2838
"2021-09-19",0,0
"2021-09-26",0,0
"2021-10-03",0,0
"2021-10-10",11,-4
"2021-10-17",0,0
"2021-10-24",0,0
"2021-10-31",0,0
"2021-11-07",0,0
"2021-11-14",10531,-9846
"2021-11-21",0,0
"2021-11-28",0,0
"2021-12-05",6997,-36455
"2021-12-12",5440,-5435
"2021-12-19",0,0
"2021-12-26",0,0
"2022-01-02",0,0
"2022-01-09",0,0
"2022-01-16",0,0
"2022-01-23",0,0
"2022-01-30",0,0
"2022-02-06",0,0
"2022-02-13",0,0
"2022-02-20",9567,-54768
"2022-02-27",0,0
"2022-03-06",46,-26
"2022-03-13",0,0
"2022-03-20",0,0
"2022-03-27",0,0
"2022-04-03",0,0
"2022-04-10",0,0
"2022-04-17",0,0
"2022-04-24",0,0
"2022-05-01",4,-9
"2022-05-08",0,0
"2022-05-15",0,0
"2022-05-22",0,0
"2022-05-29",0,0
"2022-06-05",0,0
"2022-06-12",0,0
"2022-06-19",0,0
"2022-06-26",0,0
"2022-07-03",0,0
"2022-07-10",0,0
"2022-07-17",0,0
"2022-07-24",0,0
"2022-07-31",0,0
"2022-08-07",0,0
"2022-08-14",0,0
"2022-08-21",0,0
"2022-08-28",0,0
"2022-09-04",0,0
"2022-09-11",0,0
"2022-09-18",17,-11
"2022-09-25",0,0
"2022-10-02",0,0
"2022-10-09",0,0
"2022-10-16",0,0
"2022-10-23",0,0
"2022-10-30",0,0
"2022-11-06",0,0
"2022-11-13",0,0
"2022-11-20",0,0
"2022-11-27",0,0
"2022-12-04",0,0
"2022-12-11",0,0
"2022-12-18",4066,-4757
"2022-12-25",0,0
"2023-01-01",0,0
"2023-01-08",0,0
"2023-01-15",0,0
"2023-01-22",0,0
"2023-01-29",0,0
"2023-02-05",0,0
"2023-02-12",0,0
"2023-02-19",0,0
"2023-02-26",0,0
"2023-03-05",0,0
"2023-03-12",4375,-4255
"2023-03-19",14,-2
"2023-03-26",0,0
"2023-04-02",0,0
"2023-04-09",0,0
"2023-04-16",0,0
"2023-04-23",0,0
"2023-04-30",0,0
"2023-05-07",0,0
"2023-05-14",0,0
"2023-05-21",0,0
"2023-05-28",0,0
"2023-06-04",0,0
"2023-06-11",0,0
"2023-06-18",0,0
"2023-06-25",0,0
"2023-07-02",0,0
"2023-07-09",0,0
"2023-07-16",0,0
"2023-07-23",0,0
"2023-07-30",0,0
"2023-08-06",0,0
"2023-08-13",0,0
"2023-08-20",0,0
"2023-08-27",0,0
"2023-09-03",0,0
"2023-09-10",0,0
"2023-09-17",0,0
"2023-09-24",0,0
"2023-10-01",0,0
"2023-10-08",0,0
"2023-10-15",0,0
"2023-10-22",0,0
"2023-10-29",66,-67
"2023-11-05",0,0
"2023-11-12",0,0
"2023-11-19",249,-77
"2023-11-26",8,0
"2023-12-03",0,0
"2023-12-10",0,0
"2023-12-17",0,0
"2023-12-24",0,0
"2023-12-31",0,0
"2024-01-07",0,0
"2024-01-14",0,0
"2024-01-21",0,0
"2024-01-28",0,0
"2024-02-04",0,0
"2024-02-11",0,0
"2024-02-18",0,0
"2024-02-25",16340,-17566
"2024-03-03",0,0
"2024-03-10",0,0
"2024-03-17",0,0
"2024-03-24",0,0
"2024-03-31",0,0
"2024-04-07",0,0
"2024-04-14",6661,-8546
"2024-04-21",16,-14
"2024-04-28",0,0
"2024-05-05",0,0
"2024-05-12",0,0
"2024-05-19",0,0
"2024-05-26",0,0
"2024-06-02",4,-12
"2024-06-09",0,0
"2024-06-16",0,0
"2024-06-23",0,0
"2024-06-30",0,0
"2024-07-07",1,-1
"2024-07-14",0,0
"2024-07-21",0,0
"2024-07-28",1,-1
"2024-08-04",0,0
"2024-08-11",0,0
"2024-08-18",0,0
"2024-08-25",3838,-3839
"2024-09-01",0,0
"2024-09-08",0,0
"2024-09-15",4,-4
"2024-09-22",0,0
"2024-09-29",5,-7
"2024-10-06",0,0
"2024-10-13",0,0
"2024-10-20",0,0
"2024-10-27",0,0
"2024-11-03",0,0
"2024-11-10",0,0
"2024-11-17",0,0
"2024-11-24",0,0
"2024-12-01",0,0
"2024-12-08",0,0
"2024-12-15",0,0
"2024-12-22",0,0
"2024-12-29",1315,-2747
"2025-01-05",0,0
"2025-01-12",0,0
"2025-01-19",0,0
"2025-01-26",0,0
"2025-02-02",0,0
"2025-02-09",0,0
"2025-02-16",0,0
"2025-02-23",75,-70
"2025-03-02",0,0
"2025-03-09",0,0
"2025-03-16",0,0
"2025-03-23",0,0
"2025-03-30",0,0
"2025-04-06",0,0
"2025-04-13",0,0
"2025-04-20",0,0
"2025-04-27",0,0
"2025-05-04",0,0
"2025-05-11",0,0
"2025-05-18",0,0
"2025-05-25",0,0
"2025-06-01",0,0
"2025-06-08",0,0
"2025-06-15",0,0
"2025-06-22",0,0
"2025-06-29",0,0
"2025-07-06",0,0
"2025-07-13",0,0
"2025-07-20",0,0
"2025-07-27",0,0
"2025-08-03",0,0
"2025-08-10",0,0
"2025-08-17",0,0
"2025-08-24",0,0
"2025-08-31",0,0
"2025-09-07",0,0
"2025-09-14",0,0
"2025-09-21",0,0
"2025-09-28",0,0
"2025-10-05",0,0
"2025-10-12",0,0
"2025-10-19",0,0
"2025-10-26",0,0
"2025-11-02",0,0
"2025-11-09",0,0
"2025-11-16",0,0
"2025-11-23",0,0
"2025-11-30",0,0
"2025-12-07",0,0
"2025-12-14",0,0
"2025-12-21",0,0
